player_a,player_b,present_a,present_b,painted_a,painted_b,score,winner
aquila,divado,true,true,true,false,52-43,aquila
aquila,saschanian,true,true,true,false,66-30,aquila
army,chorche,true,true,true,false,86-18,army
army,ma5ter19,true,true,true,false,57-7,army
bennz,empix,true,true,false,true,71-26,bennz
bennz,thelyricalmachete,true,true,false,false,59-66,bennz
bugmann,lupublic,true,true,false,true,10-81,lupublic
bugmann,scurvymcg,true,true,false,false,34-81,scurvymcg
chorche,salkinus,true,true,false,true,71-18,chorche
chuhonez,ma5ter19,true,true,true,false,9-41,chuhonez
complix,chuhonez,true,true,false,true,14-75,chuhonez
complix,rem,true,true,false,true,43-58,rem
disqord,mastercraze,true,true,false,true,55-40,disqord
disqord,plops70,true,false,false,false,40-0,disqord
divado,schwarmbruder,true,true,false,true,13-54,schwarmbruder
ekko,feulp,true,false,true,false,40-0,ekko
ekko,plops70,true,true,true,false,78-17,ekko
empix,whitewolf,true,true,true,false,50-50,whitewolf
feulp,wagrainer,false,false,false,false,0-0,wagrainer
grip,saschanian,true,true,false,false,41-21,saschanian
grip,schwarmbruder,true,true,false,true,49-39,grip
kanemotri,lupublic,true,true,true,true,14-70,lupublic
kanemotri,rem,true,false,true,true,40-0,kanemotri
madeleine,thelyricalmachete,true,true,false,false,37-58,thelyricalmachete
madeleine,whitewolf,true,true,false,false,52-18,madeleine
mastercraze,scurvymcg,false,true,true,false,0-40,mastercraze
paenu,salkinus,false,true,false,true,0-40,salkinus
paenu,superkonsti,false,true,false,true,0-40,superkonsti
paeu,superkonsti,true,true,true,true,27-85,superkonsti
paeu,wagrainer,true,true,true,false,84-32,paeu
