player_a,player_b,present_a,present_b,painted_a,painted_b,winner
seebusch,stardewd,false,false,false,false,seebusch
seebusch,rudolfwagrainer,
keksbroesel,stardewd,
keksbroesel,army,true,true,true,false,keksbroesel
gripofchaos,army,
gripofchaos,rudolfwagrainer,
desmont,scurvymcg,
desmont,derjoker,
grimm,luisderzwerg,
grimm,handsomejackiro,
sonnenbursche,madeleine,
sonnenbursche,derjoker,
madeleine,scurvymcg,
luisderzwerg,handsomejackiro,
bennz,justcoco666,
bennz,askonnox,
justcoco666,plops70,
autshorty,askonnox,
autshorty,kanemotri,
plops70,kanemotri,
